year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,"park, garden and landscape maintenance worker",all,males,1700,1650
2022,civil engineering/building construction labourer,all,males,1625,1575
2022,hand packer,all,females,1530,1400
2022,hand packer,all,males,1797,1420
2022,warehouse worker,all,females,2015,1721
2022,warehouse worker,all,males,2344,1999
2022,vehicle attendant,all,males,2000,1860
2022,kitchen assistant,all,females,1838,1500
2022,kitchen assistant,all,males,2200,1600
2022,food/drink stall assistant,all,females,1500,1400
2022,food/drink stall assistant,all,males,1448,1400
2022,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,females,1550,1550
2022,bellboy/hotel porter,all,males,1712,1598
2022,attendant,all,females,1880,1700
2022,attendant,all,males,2177,2064
2022,hospital/clinic attendant,all,females,1854,1628
2022,"sports and recreational attendant (e.g. golf marshal, golf caddie, fun fair attendant, bowling alley attendant, swimming pool attendant)",all,males,1976,1900
2022,bus attendant,all,females,700,700
2022,odd job person,all,females,1400,1400
2022,odd job person,all,males,1400,1400
